case_id,case_title,source_batch,bucket,candidate_id,title,verification_status,topic_relation,recommended_action,matched_keywords,missing_keywords,reason,url,doi,year,venue,authors
ENG-THESIS-003,基于点云多平面检测的三维重建关键技术研究,r3,baseline,c-1adf37be,3D Point Cloud Plane Segmentation Method Based on RANSAC And Support Vector Machine,verified,,keep,,,3/4 axes proxy-match — adjacent topic,,,2019,,
ENG-THESIS-003,基于点云多平面检测的三维重建关键技术研究,r3,baseline,c-4d18e5fc,A new plane segmentation method of point cloud based on mean shift and RANSAC,verified,,keep,,,3/4 axes proxy-match — adjacent topic,,,2018,,
ENG-THESIS-003,基于点云多平面检测的三维重建关键技术研究,r3,baseline,c-714578e3,Evaluation of Plane Detection with RANSAC According to Density of 3D Point Clouds,verified,,keep,,,3/4 axes proxy-match — adjacent topic,,,2013,,
ENG-THESIS-003,基于点云多平面检测的三维重建关键技术研究,r3,baseline,c-8c1d0c60,Towards Robust and Efficient Plane Detection from 3D Point Cloud,verified,,keep,,,3/4 axes proxy-match — adjacent topic,,,2021,,
ENG-THESIS-003,基于点云多平面检测的三维重建关键技术研究,r3,baseline,c-bde2eca9,Point Cloud Plane Fitting Based on RANSAC and Robust Eigenvalue Method,verified,,keep,,,3/4 axes proxy-match — adjacent topic,,,2022,,
ENG-THESIS-003,基于点云多平面检测的三维重建关键技术研究,r3,parallel,c-6f8e9361,NOPE-SAC: Neural One-Plane RANSAC for Sparse-View Planar 3D Reconstruction,verified,,keep,,,1 direct + 2 proxy axis — strong topical fit,,,2022,,
ENG-THESIS-004,基于改进YOLOv4模型的快速目标检测与测距算法研究,r3,core,c-6356c9b3,TJU-DHD: A Diverse High-Resolution Dataset for Object Detection,verified,,keep,,,2/4 axes directly match topic atoms,,,2020,,
ENG-THESIS-004,基于改进YOLOv4模型的快速目标检测与测距算法研究,r3,core,c-6e04df2a,Real-time object detection method based on improved YOLOv4-tiny,verified,,keep,,,2/4 axes directly match topic atoms,,,2020,,
ENG-THESIS-004,基于改进YOLOv4模型的快速目标检测与测距算法研究,r3,baseline,c-6e04df2a,Real-time object detection method based on improved YOLOv4-tiny,verified,,keep,,,2/4 axes directly match topic atoms,,,2020,,
ENG-THESIS-004,基于改进YOLOv4模型的快速目标检测与测距算法研究,r3,baseline,c-7e0291b5,YOLOv4: A Breakthrough in Real-Time Object Detection,verified,,keep,,,2/4 axes directly match topic atoms,,,2025,,
ENG-THESIS-004,基于改进YOLOv4模型的快速目标检测与测距算法研究,r3,parallel,c-8b06f082,Analysis and Adaptation of YOLOv4 for Object Detection in Aerial Images,verified,,keep,,,3/4 axes directly match topic atoms,,,2022,,
ENG-THESIS-004,基于改进YOLOv4模型的快速目标检测与测距算法研究,r3,parallel,c-ab9499a9,PVAFN: Point-Voxel Attention Fusion Network with Multi-Pooling Enhancing for 3D Object Detection,verified,,keep,,,2/4 axes directly match topic atoms,,,2024,,
ENG-THESIS-005,随机纹理背景下弱小缺陷检测的深度学习方法研究,r3,baseline,c-5c03be15,Small Object Detection for Birds with Swin Transformer,verified,,keep,,,1 direct + 1 proxy axis — strong topical fit,,,,,
ENG-THESIS-010,基于深度学习的交通标志检测与识别研究,r3,core,c-7cad1e7a,Real-Time Traffic Sign Detection: A Case Study in a Santa Clara Suburban Neighborhood,verified,,keep,,,3/4 axes directly match topic atoms,,,2023,,
ENG-THESIS-010,基于深度学习的交通标志检测与识别研究,r3,core,c-d59b502a,Improved YOLOv5 network for real-time multi-scale traffic sign detection,verified,,keep,,,3/4 axes directly match topic atoms,,,2021,,
ENG-THESIS-010,基于深度学习的交通标志检测与识别研究,r3,baseline,c-7cad1e7a,Real-Time Traffic Sign Detection: A Case Study in a Santa Clara Suburban Neighborhood,verified,,keep,,,3/4 axes directly match topic atoms,,,2023,,
ENG-THESIS-010,基于深度学习的交通标志检测与识别研究,r3,baseline,c-b2aa6271,surendrasah/german-traffic-sign-detection,verified,,keep,,,3/4 axes proxy-match — adjacent topic,,,,,
ENG-THESIS-010,基于深度学习的交通标志检测与识别研究,r3,baseline,c-d59b502a,Improved YOLOv5 network for real-time multi-scale traffic sign detection,verified,,keep,,,3/4 axes directly match topic atoms,,,2021,,
ENG-THESIS-010,基于深度学习的交通标志检测与识别研究,r3,parallel,c-54f33ae6,Adversarial Attack On Yolov5 For Traffic And Road Sign Detection,verified,,keep,,,3/4 axes directly match topic atoms,,,2023,,
ENG-THESIS-010,基于深度学习的交通标志检测与识别研究,r3,parallel,c-69699e6a,Image Classification using CNN for Traffic Signs in Pakistan,verified,,keep,,,1 direct + 1 proxy axis — strong topical fit,,,2021,,
ENG-THESIS-010,基于深度学习的交通标志检测与识别研究,r3,parallel,c-9f621b4e,CURE-TSR: Challenging Unreal and Real Environments for Traffic Sign Recognition,verified,,keep,,,2/4 axes directly match topic atoms,,,2017,,
ENG-THESIS-014,基于生成对抗网络的织物缺陷检测算法研究,r4,baseline,c-32bf4c75,Fabric defect detection method based on texture structure analysis,verified,,keep,,,1 direct + 2 proxy axis — strong topical fit,,,2008,,
ENG-THESIS-014,基于生成对抗网络的织物缺陷检测算法研究,r4,baseline,c-648a03ed,LSTM based texture classification and defect detection in a fabric,verified,,keep,,,3/4 axes proxy-match — adjacent topic,,,2023,,
ENG-THESIS-014,基于生成对抗网络的织物缺陷检测算法研究,r4,baseline,c-7078aec6,Fabric defect detection based on texture enhancement,verified,,keep,,,1 direct + 2 proxy axis — strong topical fit,,,2012,,
ENG-THESIS-014,基于生成对抗网络的织物缺陷检测算法研究,r4,baseline,c-cda1574e,Fabric defect detection based on adaptive LBP and SVM,verified,,keep,,,1 direct + 2 proxy axis — strong topical fit,,,2010,,
ENG-THESIS-014,基于生成对抗网络的织物缺陷检测算法研究,r4,parallel,c-1d945be4,DeepInspect: An AI-Powered Defect Detection for Manufacturing Industries,verified,,keep,,,1 direct + 2 proxy axis — strong topical fit,,,2023,,
ENG-THESIS-014,基于生成对抗网络的织物缺陷检测算法研究,r4,parallel,c-9f4c84bb,A New Benchmark Dataset for Texture Image Analysis and Surface Defect Detection,verified,,keep,,,3/4 axes proxy-match — adjacent topic,,,2019,,
ENG-THESIS-014,基于生成对抗网络的织物缺陷检测算法研究,r4,parallel,c-d1f9645f,Texture-based Fabric Defect Detection Method,verified,,keep,,,1 direct + 2 proxy axis — strong topical fit,,,2023,,
ENG-THESIS-014,基于生成对抗网络的织物缺陷检测算法研究,r4,parallel,c-f0600e2f,Road Surface Defect Detection -- From Image-based to Non-image-based: A Survey,verified,,keep,,,3/4 axes proxy-match — adjacent topic,,,2024,,
ENG-THESIS-014,基于生成对抗网络的织物缺陷检测算法研究,r4,parallel,c-f614d7ef,TransferD2: Automated Defect Detection Approach in Smart Manufacturing using Transfer Learning Techniques,verified,,keep,,,3/4 axes proxy-match — adjacent topic,,,2023,,
ENG-THESIS-015,基于患者虚拟定位的三维人体重建关键技术研究,batch1,core,c-1d3d2775,Recovering 3D Human Mesh from Monocular Images: A Survey,not_found,,quarantine,,,off_topic per evidence_consistency audit,,,2022,,
ENG-THESIS-015,基于患者虚拟定位的三维人体重建关键技术研究,batch1,baseline,c-1d3d2775,Recovering 3D Human Mesh from Monocular Images: A Survey,not_found,,quarantine,,,off_topic per evidence_consistency audit,,,2022,,
ENG-THESIS-015,基于患者虚拟定位的三维人体重建关键技术研究,batch1,baseline,c-226b38c6,Advances in Feed-Forward 3D Reconstruction and View Synthesis: A Survey,not_found,,quarantine,,,off_topic per evidence_consistency audit,,,2025,,
ENG-THESIS-015,基于患者虚拟定位的三维人体重建关键技术研究,batch1,parallel,c-4b86c255,GPT-4V(ision) is a Human-Aligned Evaluator for Text-to-3D Generation,not_found,,quarantine,,,off_topic per evidence_consistency audit,,,,,
ENG-THESIS-015,基于患者虚拟定位的三维人体重建关键技术研究,batch1,parallel,c-510ae629,"R3eVision: A Survey on Robust Rendering, Restoration, and Enhancement for 3D Low-Level Vision",not_found,,quarantine,,,off_topic per evidence_consistency audit,,,2025,,
ENG-THESIS-015,基于患者虚拟定位的三维人体重建关键技术研究,batch1,parallel,c-c60ce0a6,Advances in Global Solvers for 3D Vision,not_found,,quarantine,,,off_topic per evidence_consistency audit,,,2026,,
ENG-THESIS-016,基于深度学习的视觉SLAM语义地图的研究,batch1,core,c-052845f3,VAR-SLAM: Visual Adaptive and Robust SLAM for Dynamic Environments,verified,,keep,,,2/4 axes directly match topic atoms,,,2025,,
ENG-THESIS-016,基于深度学习的视觉SLAM语义地图的研究,batch1,core,c-06ecb20b,DS-SLAM: A Semantic Visual SLAM towards Dynamic Environments,verified,,keep,,,2/4 axes directly match topic atoms,,,2018,,
ENG-THESIS-016,基于深度学习的视觉SLAM语义地图的研究,batch1,core,c-574dfd86,"OKVIS2-X: Open Keyframe-based Visual-Inertial SLAM Configurable with Dense Depth or LiDAR, and GNSS",verified,,keep,,,1 direct + 2 proxy axis — strong topical fit,,,2025,,
ENG-THESIS-016,基于深度学习的视觉SLAM语义地图的研究,batch1,core,c-8fbe00bf,Overview of Visual SLAM Technology: From Traditional to Deep Learning Methods,verified,,keep,,,2/4 axes directly match topic atoms,,,2023,,
ENG-THESIS-016,基于深度学习的视觉SLAM语义地图的研究,batch1,core,c-9a6aaeab,DynoSAM: Open-Source Smoothing and Mapping Framework for Dynamic SLAM,verified,,keep,,,1 direct + 2 proxy axis — strong topical fit,,,2025,,
ENG-THESIS-016,基于深度学习的视觉SLAM语义地图的研究,batch1,core,c-d4e24945,DBLD-SLAM: A Deep-Learning Visual SLAM System Based on Deep Binary Local Descriptor,verified,,keep,,,2/4 axes directly match topic atoms,,,2021,,
ENG-THESIS-016,基于深度学习的视觉SLAM语义地图的研究,batch1,baseline,c-052845f3,VAR-SLAM: Visual Adaptive and Robust SLAM for Dynamic Environments,verified,,keep,,,2/4 axes directly match topic atoms,,,2025,,
ENG-THESIS-016,基于深度学习的视觉SLAM语义地图的研究,batch1,baseline,c-06ecb20b,DS-SLAM: A Semantic Visual SLAM towards Dynamic Environments,verified,,keep,,,2/4 axes directly match topic atoms,,,2018,,
ENG-THESIS-016,基于深度学习的视觉SLAM语义地图的研究,batch1,baseline,c-9a6aaeab,DynoSAM: Open-Source Smoothing and Mapping Framework for Dynamic SLAM,verified,,keep,,,1 direct + 2 proxy axis — strong topical fit,,,2025,,
ENG-THESIS-016,基于深度学习的视觉SLAM语义地图的研究,batch1,baseline,c-d4e24945,DBLD-SLAM: A Deep-Learning Visual SLAM System Based on Deep Binary Local Descriptor,verified,,keep,,,2/4 axes directly match topic atoms,,,2021,,
ENG-THESIS-016,基于深度学习的视觉SLAM语义地图的研究,batch1,parallel,c-047f5743,MLP-SLAM: Multilayer Perceptron-Based Simultaneous Localization and Mapping,verified,,keep,,,1 direct + 2 proxy axis — strong topical fit,,,2024,,
ENG-THESIS-016,基于深度学习的视觉SLAM语义地图的研究,batch1,parallel,c-3a6c481f,Self-supervised Learning of Contextualized Local Visual Embeddings,verified,,keep,,,1 direct + 1 proxy axis — strong topical fit,,,2023,,
ENG-THESIS-016,基于深度学习的视觉SLAM语义地图的研究,batch1,parallel,c-574dfd86,"OKVIS2-X: Open Keyframe-based Visual-Inertial SLAM Configurable with Dense Depth or LiDAR, and GNSS",verified,,keep,,,1 direct + 2 proxy axis — strong topical fit,,,2025,,
ENG-THESIS-016,基于深度学习的视觉SLAM语义地图的研究,batch1,parallel,c-c9e504dc,PL-VINS: Real-Time Monocular Visual-Inertial SLAM with Point and Line Features,verified,,keep,,,3/4 axes proxy-match — adjacent topic,,,2020,,
ENG-THESIS-016,基于深度学习的视觉SLAM语义地图的研究,batch1,parallel,c-cd8db1f9,Renderable Neural Radiance Map for Visual Navigation‬,verified,,keep,,,2/4 axes proxy-match — adjacent topic,,,,,
ENG-THESIS-016,基于深度学习的视觉SLAM语义地图的研究,batch1,parallel,c-d7b6839b,ViSTA-SLAM: Visual SLAM with Symmetric Two-view Association,verified,,keep,,,2/4 axes directly match topic atoms,,,2025,,
ENG-THESIS-018,基于深度学习的三维点云补全方法研究,batch1,core,c-556bf35c,keneniwt/Point-Cloud-Completion-Survey,verified,,keep,,,2/4 axes proxy-match — adjacent topic,,,,,
ENG-THESIS-018,基于深度学习的三维点云补全方法研究,batch1,core,c-817651f3,PCN: Point Completion Network,verified,,keep,,,2/4 axes directly match topic atoms,,,2018,,
ENG-THESIS-018,基于深度学习的三维点云补全方法研究,batch1,core,c-9a376778,PCN,verified,,keep,,,1 axis directly matches — partial fit,,,,,
ENG-THESIS-018,基于深度学习的三维点云补全方法研究,batch1,core,c-e80a53d8,ShapeNet,verified,,keep,,,1 direct + 1 proxy axis — strong topical fit,,,,,
ENG-THESIS-018,基于深度学习的三维点云补全方法研究,batch1,baseline,c-817651f3,PCN: Point Completion Network,verified,,keep,,,2/4 axes directly match topic atoms,,,2018,,
ENG-THESIS-018,基于深度学习的三维点云补全方法研究,batch1,parallel,c-04c49e47,Structural-Adaptive Contrastive Chamfer Distance for Robust Point Cloud Completion,verified,,keep,,,1 direct + 1 proxy axis — strong topical fit,,,2026,,
ENG-THESIS-018,基于深度学习的三维点云补全方法研究,batch1,parallel,c-089b8a42,Cascaded Refinement Network for Point Cloud Completion with Self-supervision,verified,,keep,,,1 direct + 1 proxy axis — strong topical fit,,,2020,,
ENG-THESIS-018,基于深度学习的三维点云补全方法研究,batch1,parallel,c-1eebfe0c,Multimodal Shape Completion via IMLE,verified,,keep,,,1 direct + 1 proxy axis — strong topical fit,,,2021,,
ENG-THESIS-018,基于深度学习的三维点云补全方法研究,batch1,parallel,c-470051d7,Enhancing Performance of Point Cloud Completion Networks with Consistency Loss,verified,,keep,,,1 direct + 1 proxy axis — strong topical fit,,,2024,,
ENG-THESIS-018,基于深度学习的三维点云补全方法研究,batch1,parallel,c-7049e7df,DFG-PCN: Point Cloud Completion With Degree-Flexible Point Graph,verified,,keep,,,2/4 axes directly match topic atoms,,,2025,,
ENG-THESIS-018,基于深度学习的三维点云补全方法研究,batch1,parallel,c-7468f29f,DCSE-PCN: A Coarse-to-Fine Point Completion Network with Details Compensation and Structure Enhancement,verified,,keep,,,1 direct + 2 proxy axis — strong topical fit,,,2025,,
ENG-THESIS-018,基于深度学习的三维点云补全方法研究,batch1,parallel,c-da01f67f,DC-PCN: Point Cloud Completion Network with Dual-Codebook Guided Quantization,verified,,keep,,,3/4 axes directly match topic atoms,,,2025,,
ENG-THESIS-022,基于深度学习的钢铁表面缺陷检测研究,r4,core,c-156dbb1a,Enhanced Zero-Shot YOLOv10 for Multi-Class Tiny-Object Detection of Steel Surface Defects,verified,,keep,,,3/4 axes directly match topic atoms,,,2024,,
ENG-THESIS-022,基于深度学习的钢铁表面缺陷检测研究,r4,core,c-e91b01a5,YOLO-GVMamba: An Efficient Steel Surface Defect Object Detection Method Based on State Space Model,verified,,keep,,,3/4 axes directly match topic atoms,,,2025,,
ENG-THESIS-022,基于深度学习的钢铁表面缺陷检测研究,r4,baseline,c-156dbb1a,Enhanced Zero-Shot YOLOv10 for Multi-Class Tiny-Object Detection of Steel Surface Defects,verified,,keep,,,3/4 axes directly match topic atoms,,,2024,,
ENG-THESIS-022,基于深度学习的钢铁表面缺陷检测研究,r4,baseline,c-b50bf6ad,DAMO-YOLO : A Report on Real-Time Object Detection Design,verified,,keep,,,2/4 axes directly match topic atoms,,,2022,,
ENG-THESIS-022,基于深度学习的钢铁表面缺陷检测研究,r4,baseline,c-e91b01a5,YOLO-GVMamba: An Efficient Steel Surface Defect Object Detection Method Based on State Space Model,verified,,keep,,,3/4 axes directly match topic atoms,,,2025,,
ENG-THESIS-022,基于深度学习的钢铁表面缺陷检测研究,r4,parallel,c-28b3d7e8,YOLO-IOD: Towards Real Time Incremental Object Detection,verified,,keep,,,2/4 axes directly match topic atoms,,,2025,,
ENG-THESIS-022,基于深度学习的钢铁表面缺陷检测研究,r4,parallel,c-430fa090,Poisoning Object Detection Models for Surface Defect Inspection in Steel Manufacturing,verified,,keep,,,2/4 axes directly match topic atoms,,,2026,,
ENG-THESIS-022,基于深度学习的钢铁表面缺陷检测研究,r4,parallel,c-46c528b8,YOLO-World: Real-Time Open-Vocabulary Object Detection,verified,,keep,,,2/4 axes directly match topic atoms,,,2024,,
ENG-THESIS-022,基于深度学习的钢铁表面缺陷检测研究,r4,parallel,c-ba4d55ff,MS-YOLO: Infrared Object Detection for Edge Deployment via MobileNetV4 and SlideLoss,verified,,keep,,,2/4 axes directly match topic atoms,,,2025,,
ENG-THESIS-022,基于深度学习的钢铁表面缺陷检测研究,r4,parallel,c-e66f04bb,D-YOLO a robust framework for object detection in adverse weather conditions,verified,,keep,,,2/4 axes directly match topic atoms,,,2024,,
ENG-THESIS-024,基于深度学习的无监督三维点云配准算法研究,r1,core,c-23fc8dab,3D Point Cloud Registration with Multi-Scale Architecture and Unsupervised Transfer Learning,verified,,keep,,,2/4 axes directly match topic atoms,,,2021,,
ENG-THESIS-024,基于深度学习的无监督三维点云配准算法研究,r1,core,c-48631d21,Deep Learning for 3D Point Clouds: A Survey,verified,,keep,,,2/4 axes directly match topic atoms,,,2019,,
ENG-THESIS-024,基于深度学习的无监督三维点云配准算法研究,r1,core,c-e9e4b8d7,Deep Closest Point: Learning Representations for Point Cloud Registration,verified,,keep,,,1 direct + 2 proxy axis — strong topical fit,,,2019,,
ENG-THESIS-024,基于深度学习的无监督三维点云配准算法研究,r1,baseline,c-23fc8dab,3D Point Cloud Registration with Multi-Scale Architecture and Unsupervised Transfer Learning,verified,,keep,,,2/4 axes directly match topic atoms,,,2021,,
ENG-THESIS-024,基于深度学习的无监督三维点云配准算法研究,r1,baseline,c-48631d21,Deep Learning for 3D Point Clouds: A Survey,verified,,keep,,,2/4 axes directly match topic atoms,,,2019,,
ENG-THESIS-024,基于深度学习的无监督三维点云配准算法研究,r1,baseline,c-e9e4b8d7,Deep Closest Point: Learning Representations for Point Cloud Registration,verified,,keep,,,1 direct + 2 proxy axis — strong topical fit,,,2019,,
ENG-THESIS-024,基于深度学习的无监督三维点云配准算法研究,r1,parallel,c-33b54bdb,Deep Learning Registration Algorithm for Point Cloud Data and BIM Information Modeling Technology,verified,,keep,,,3/4 axes proxy-match — adjacent topic,,,2025,,
ENG-THESIS-024,基于深度学习的无监督三维点云配准算法研究,r1,parallel,c-471f8b2e,Crane-YU/rethink_rotation,not_found,,quarantine,,,off_topic per evidence_consistency audit,,,,,
ENG-THESIS-024,基于深度学习的无监督三维点云配准算法研究,r1,parallel,c-7ad54da6,jundaozhilian/DeepVCP-PyTorch,verified,,keep,,,1/4 axes proxy-match — adjacent topic,,,,,
ENG-THESIS-024,基于深度学习的无监督三维点云配准算法研究,r1,parallel,c-810a25a3,An efficient point cloud registration method based on deep learning framework,verified,,keep,,,1 direct + 2 proxy axis — strong topical fit,,,2025,,
ENG-THESIS-024,基于深度学习的无监督三维点云配准算法研究,r1,parallel,c-89fd7b7e,Improving Deep Learning Point Cloud Registration with Semantic Labels,verified,,keep,,,1 direct + 2 proxy axis — strong topical fit,,,2023,,
ENG-THESIS-024,基于深度学习的无监督三维点云配准算法研究,r1,parallel,c-ba5c109c,Geometry-to-Image Synthesis-Driven Generative Point Cloud Registration,verified,,keep,,,2/4 axes directly match topic atoms,,,2025,,
ENG-THESIS-024,基于深度学习的无监督三维点云配准算法研究,r1,parallel,c-c61d07ac,Deep Models with Fusion Strategies for MVP Point Cloud Registration,verified,,keep,,,1 direct + 2 proxy axis — strong topical fit,,,2021,,
ENG-THESIS-027,基于YOLOv5模型的遥感影像飞机目标检测,r1,core,c-a00e5114,Improving the Detection of Small Oriented Objects in Aerial Images,verified,,keep,,,1 direct + 2 proxy axis — strong topical fit,,,2024,,
ENG-THESIS-027,基于YOLOv5模型的遥感影像飞机目标检测,r1,core,c-befd471c,DOTA,not_found,,quarantine,,,off_topic per evidence_consistency audit,,,,,
ENG-THESIS-027,基于YOLOv5模型的遥感影像飞机目标检测,r1,core,c-dc50530c,HIC-YOLOv5: Improved YOLOv5 For Small Object Detection,verified,,keep,,,2/4 axes directly match topic atoms,,,2023,,
ENG-THESIS-027,基于YOLOv5模型的遥感影像飞机目标检测,r1,core,c-fbafaa77,Oriented object detection in optical remote sensing images using deep learning: a survey,verified,,keep,,,2/4 axes directly match topic atoms,,,2023,,
ENG-THESIS-027,基于YOLOv5模型的遥感影像飞机目标检测,r1,core,c-fc6212df,Oriented Object Detection in Remote Sensing Image Based on YOLOV5,verified,,keep,,,3/4 axes directly match topic atoms,,,2022,,
ENG-THESIS-027,基于YOLOv5模型的遥感影像飞机目标检测,r1,baseline,c-a00e5114,Improving the Detection of Small Oriented Objects in Aerial Images,verified,,keep,,,1 direct + 2 proxy axis — strong topical fit,,,2024,,
ENG-THESIS-027,基于YOLOv5模型的遥感影像飞机目标检测,r1,baseline,c-dc50530c,HIC-YOLOv5: Improved YOLOv5 For Small Object Detection,verified,,keep,,,2/4 axes directly match topic atoms,,,2023,,
ENG-THESIS-027,基于YOLOv5模型的遥感影像飞机目标检测,r1,baseline,c-fc6212df,Oriented Object Detection in Remote Sensing Image Based on YOLOV5,verified,,keep,,,3/4 axes directly match topic atoms,,,2022,,
ENG-THESIS-027,基于YOLOv5模型的遥感影像飞机目标检测,r1,parallel,c-98fe1464,phamminhhanhuet/resnet-orient-detection,verified,,keep,,,1/4 axes proxy-match — adjacent topic,,,,,
ENG-THESIS-027,基于YOLOv5模型的遥感影像飞机目标检测,r1,parallel,c-d9b3b1bc,Object Detection Of Flexible Object With Arbitrary-Oriented Based On Rotation Adaptive YOLOv5,verified,,keep,,,1 direct + 1 proxy axis — strong topical fit,,,2021,,
ENG-THESIS-028,基于YOLOv5的绝缘子检测与缺陷识别方法研究,batch2,baseline,c-5a5ddeb3,YOLOv5s-GTB: light-weighted and improved YOLOv5s for bridge crack detection,verified,,keep,,,1 direct + 1 proxy axis — strong topical fit,,,2022,,
ENG-THESIS-028,基于YOLOv5的绝缘子检测与缺陷识别方法研究,batch2,baseline,c-87a331f5,HIC-YOLOv5: Improved YOLOv5 For Small Object Detection,verified,,keep,,,2/4 axes directly match topic atoms,,,2023,,
ENG-THESIS-028,基于YOLOv5的绝缘子检测与缺陷识别方法研究,batch2,baseline,c-8ff35640,Model Compression Methods for YOLOv5: A Review,verified,,keep,,,1 direct + 1 proxy axis — strong topical fit,,,2023,,
ENG-THESIS-028,基于YOLOv5的绝缘子检测与缺陷识别方法研究,batch2,baseline,c-a8b30f2b,UTD-Yolov5: A Real-time Underwater Targets Detection Method based on Attention Improved YOLOv5,verified,,keep,,,1 direct + 2 proxy axis — strong topical fit,,,2022,,
ENG-THESIS-028,基于YOLOv5的绝缘子检测与缺陷识别方法研究,batch2,parallel,c-03ca4b06,Oriented object detection in optical remote sensing images using deep learning: a survey,verified,,keep,,,3/4 axes proxy-match — adjacent topic,,,2023,,
ENG-THESIS-028,基于YOLOv5的绝缘子检测与缺陷识别方法研究,batch2,parallel,c-f8fe4b77,Fire Detection From Image and Video Using YOLOv5,verified,,keep,,,1 direct + 2 proxy axis — strong topical fit,,,2023,,
ENG-THESIS-032,基于深度学习的液晶屏表面缺陷检测方法研究,batch2,baseline,c-086a457a,Yonatan-Estifanos-github/SurfaceDefectNet-Deep-Learning-for-Surface-Defect-Detection,verified,,keep,,,3/4 axes proxy-match — adjacent topic,,,,,
ENG-THESIS-032,基于深度学习的液晶屏表面缺陷检测方法研究,batch2,baseline,c-53ff3c66,TransferD2: Automated Defect Detection Approach in Smart Manufacturing using Transfer Learning Techniques,verified,,keep,,,1 direct + 2 proxy axis — strong topical fit,,,2023,,
ENG-THESIS-032,基于深度学习的液晶屏表面缺陷检测方法研究,batch2,baseline,c-88238e69,DeepInspect: An AI-Powered Defect Detection for Manufacturing Industries,verified,,keep,,,1 direct + 2 proxy axis — strong topical fit,,,2023,,
ENG-THESIS-032,基于深度学习的液晶屏表面缺陷检测方法研究,batch2,parallel,c-79c36d06,A New Benchmark Dataset for Texture Image Analysis and Surface Defect Detection,verified,,keep,,,1 direct + 2 proxy axis — strong topical fit,,,2019,,
