case_id,title,status,availability_level,evidence_strength_label,gap_flags,paper_n,baseline_n,parallel_n,dataset_n,repo_n,topic_dataset_n,proxy_dataset_n,pretrain_dataset_n,generic_dataset_n,core_n,effective_core_n,effective_baseline_n,effective_parallel_n,quarantined_baseline_n,quarantined_parallel_n,quarantined_core_n,critical_consistency_error_n,metadata_mismatch_n,off_topic_core_n,verification_verified_n,verification_repaired_n,verification_quarantined_n,verification_not_found_n,axis_status,axis_missing_reasons,evidence_gap_reasons,notes,source_batch,reason
ENG-THESIS-003,基于点云多平面检测的三维重建关键技术研究,pass,ready,high,topic_dataset_missing;scenario_axis_missing,19,5,1,2,0,0,,,,7,7,5,1,0,0,0,1,0,1,6,0,0,1,evaluable,scenario_axis_missing,datasets_present_but_no_topic_dataset;scenario_axis_missing,,r3,datasets_present_but_no_topic_dataset; scenario_axis_missing
ENG-THESIS-004,基于改进YOLOv4模型的快速目标检测与测距算法研究,pass,ready,high,topic_dataset_missing;scenario_axis_missing,23,2,2,3,6,0,,,,2,2,2,2,0,0,0,0,0,0,5,0,0,0,evaluable,scenario_axis_missing,datasets_present_but_no_topic_dataset;scenario_axis_missing,,r3,datasets_present_but_no_topic_dataset; scenario_axis_missing
ENG-THESIS-005,随机纹理背景下弱小缺陷检测的深度学习方法研究,weak,needs_supplement,low,topic_dataset_missing;no_effective_core;object_axis_missing;scenario_axis_missing,200,1,0,3,6,0,,,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,evaluable,object_axis_missing;scenario_axis_missing,baseline_is_self_cannot_find_degradation;datasets_present_but_no_topic_dataset;object_axis_missing;scenario_axis_missing,baseline_scaffold_not_domain_specific,r3,baseline_is_self_cannot_find_degradation; datasets_present_but_no_topic_dataset; object_axis_missing; scenario_axis_missing
ENG-THESIS-010,基于深度学习的交通标志检测与识别研究,pass,ready,high,scenario_axis_missing,18,3,3,0,4,0,,,,2,2,3,3,0,0,0,0,0,0,6,0,0,0,evaluable,scenario_axis_missing,no_dataset_or_data_gap_note;scenario_axis_missing,data_source_gap_needs_confirmation,r3,no_dataset_or_data_gap_note; scenario_axis_missing
ENG-THESIS-014,基于生成对抗网络的织物缺陷检测算法研究,weak,needs_supplement,high,topic_dataset_missing;no_effective_core;scenario_axis_missing,20,4,5,2,0,0,,,,0,0,4,5,0,0,0,0,0,0,9,0,0,0,evaluable,scenario_axis_missing,datasets_present_but_no_topic_dataset;scenario_axis_missing,,r4,datasets_present_but_no_topic_dataset; scenario_axis_missing
ENG-THESIS-022,基于深度学习的钢铁表面缺陷检测研究,pass,ready,high,topic_dataset_missing;scenario_axis_missing,28,3,5,4,6,0,,,,2,2,3,5,0,0,0,0,0,0,8,0,0,0,evaluable,scenario_axis_missing,datasets_present_but_no_topic_dataset;scenario_axis_missing,,r4,datasets_present_but_no_topic_dataset; scenario_axis_missing
ENG-THESIS-035,基于深度学习的带钢表面缺陷检测方法,pass,ready,high,topic_dataset_missing;scenario_axis_missing,25,5,9,1,1,0,,,,7,7,5,9,0,0,0,1,0,1,14,0,0,1,evaluable,scenario_axis_missing,datasets_present_but_no_topic_dataset;scenario_axis_missing,,r4,datasets_present_but_no_topic_dataset; scenario_axis_missing
ENG-THESIS-040,基于改进YOLO网络与极限学习机的绝缘子故障检测,weak,needs_supplement,high,topic_dataset_missing;no_effective_core;scenario_axis_missing,14,2,3,2,0,0,,,,0,0,2,3,0,0,0,0,0,0,5,0,0,0,evaluable,scenario_axis_missing,datasets_present_but_no_topic_dataset;scenario_axis_missing,,r4,datasets_present_but_no_topic_dataset; scenario_axis_missing
ENG-THESIS-048,面向动态环境的视觉SLAM研究,fail,blocked,high,quarantined_baseline;scenario_axis_missing,20,3,3,0,6,0,,,,1,1,2,3,1,0,0,1,1,0,5,0,1,0,evaluable,scenario_axis_missing,quarantined_candidates=1;no_dataset_or_data_gap_note;all_evidence_critical_consistency_error;scenario_axis_missing,data_source_gap_needs_confirmation,r4,quarantined_candidates=1; no_dataset_or_data_gap_note; all_evidence_critical_consistency_error; scenario_axis_missing
ENG-THESIS-051,基于深度学习的语义SLAM研究,pass,ready,high,scenario_axis_missing,16,1,5,0,2,0,,,,4,4,1,5,0,0,0,0,0,0,6,0,0,0,evaluable,scenario_axis_missing,no_dataset_or_data_gap_note;scenario_axis_missing,data_source_gap_needs_confirmation,r5,no_dataset_or_data_gap_note; scenario_axis_missing
ENG-THESIS-058,基于深度学习的激光点云环境感知,pass,ready,high,topic_dataset_missing;scenario_axis_missing,38,5,5,2,6,0,,,,12,12,5,5,0,0,0,2,0,1,12,0,0,1,evaluable,scenario_axis_missing,datasets_present_but_no_topic_dataset;scenario_axis_missing,,r5,datasets_present_but_no_topic_dataset; scenario_axis_missing
ENG-THESIS-060,基于深度学习的车道线检测方法研究,pass,ready,high,topic_dataset_missing;scenario_axis_missing,22,6,11,1,6,0,,,,8,8,6,11,0,0,0,2,0,1,17,0,0,1,evaluable,scenario_axis_missing,datasets_present_but_no_topic_dataset;scenario_axis_missing,,r5,datasets_present_but_no_topic_dataset; scenario_axis_missing
ENG-THESIS-064,面向复杂道路场景的车辆目标检测算法研究与实现,pass,ready,high,scenario_axis_missing,17,3,3,0,6,0,,,,3,3,3,3,0,0,0,0,0,0,6,0,0,0,evaluable,scenario_axis_missing,no_dataset_or_data_gap_note;scenario_axis_missing,data_source_gap_needs_confirmation,r5,no_dataset_or_data_gap_note; scenario_axis_missing
ENG-THESIS-072,基于深度学习的动态SLAM研究,pass,ready,high,scenario_axis_missing,20,2,6,0,3,0,,,,7,7,2,6,0,0,0,0,0,0,8,0,0,0,evaluable,scenario_axis_missing,no_dataset_or_data_gap_note;scenario_axis_missing,data_source_gap_needs_confirmation,r5,no_dataset_or_data_gap_note; scenario_axis_missing
ENG-THESIS-073,面向汽车自动驾驶的模拟图像生成技术及应用研究,weak,needs_supplement,medium,topic_dataset_missing;no_effective_core;scenario_axis_missing,23,1,2,3,1,0,,,,0,0,1,2,0,0,0,1,0,0,2,0,0,1,evaluable,scenario_axis_missing,datasets_present_but_no_topic_dataset;scenario_axis_missing,,r6,datasets_present_but_no_topic_dataset; scenario_axis_missing
ENG-THESIS-079,基于结构光的隧道裂缝检测技术研究与实现,pass,ready,high,scenario_axis_missing,27,3,4,0,6,0,,,,1,1,3,4,0,0,0,0,0,0,7,0,0,0,evaluable,scenario_axis_missing,no_dataset_or_data_gap_note;scenario_axis_missing,data_source_gap_needs_confirmation,r6,no_dataset_or_data_gap_note; scenario_axis_missing
ENG-THESIS-083,基于多分辨率网络的桥梁裂缝分割算法研究,pass,ready,high,scenario_axis_missing,42,5,5,0,6,0,,,,2,2,5,5,0,0,0,0,0,0,10,0,0,0,evaluable,scenario_axis_missing,no_dataset_or_data_gap_note;scenario_axis_missing,data_source_gap_needs_confirmation,r6,no_dataset_or_data_gap_note; scenario_axis_missing
ENG-THESIS-089,基于深度学习和双目立体视觉的道路路面损伤检测研究,weak,needs_supplement,high,no_effective_core;scenario_axis_missing,20,5,6,0,0,0,,,,0,0,5,6,0,0,0,0,0,0,11,0,0,0,evaluable,scenario_axis_missing,dataset+repo=0 < 1;no_dataset_or_data_gap_note;scenario_axis_missing,data_source_gap_needs_confirmation,r6,dataset+repo=0 < 1; no_dataset_or_data_gap_note; scenario_axis_missing
ENG-THESIS-100,基于深度学习的配电设备视觉识别技术研究,pass,ready,high,topic_dataset_missing;scenario_axis_missing,27,4,1,3,6,0,,,,4,4,4,1,0,0,0,0,0,0,5,0,0,0,evaluable,scenario_axis_missing,datasets_present_but_no_topic_dataset;scenario_axis_missing,,r6,datasets_present_but_no_topic_dataset; scenario_axis_missing
